Prime#,Prime Reciprocal,Pattern Length
659,0.0015174506828528073,658
661,0.0015128593040847202,220
673,0.0014858841010401188,224
677,0.0014771048744460858,338
683,0.0014641288433382138,341
691,0.001447178002894356,230
701,0.0014265335235378032,700
709,0.0014104372355430183,708
719,0.0013908205841446453,359
727,0.001375515818431912,726
733,0.001364256480218281,61
739,0.0013531799729364006,246
743,0.0013458950201884253,742
751,0.0013315579227696406,125
757,0.001321003963011889,27
761,0.001314060446780552,380
769,0.0013003901170351106,192
773,0.00129366106080207,193
787,0.0012706480304955528,393
797,0.0012547051442910915,199
809,0.0012360939431396785,202
811,0.0012330456226880395,810
821,0.001218026796589525,820
823,0.001215066828675577,822
827,0.0012091898428053204,413
829,0.0012062726176115801,276
839,0.0011918951132300357,419
853,0.0011723329425556857,213
857,0.0011668611435239206,856
859,0.0011641443538998836,26
863,0.0011587485515643105,862
877,0.0011402508551881414,438
881,0.0011350737797956867,440
883,0.0011325028312570782,441
887,0.0011273957158962795,886
907,0.0011025358324145535,151
911,0.0010976948408342481,455
919,0.001088139281828074,459
929,0.001076426264800861,464
937,0.0010672358591248667,936
941,0.0010626992561105207,940
947,0.0010559662090813093,473
953,0.001049317943336831,952
967,0.001034126163391934,322
971,0.0010298661174047373,970
977,0.0010235414534288639,976
983,0.001017293997965412,982
991,0.0010090817356205853,495
997,0.0010030090270812437,166
1009,0.0009910802775024777,252
1013,0.0009871668311944718,253
1019,0.0009813542688910696,1018
1021,0.0009794319294809011,1020
1031,0.0009699321047526673,103
1033,0.000968054211035818,1032
1039,0.0009624639076034649,519
1049,0.0009532888465204957,524
1051,0.0009514747859181732,1050
1061,0.000942507068803016,212
1063,0.0009407337723424271,1062
1069,0.0009354536950420954,1068
1087,0.0009199632014719411,1086
1091,0.0009165902841429881,1090
1093,0.0009149130832570906,273
1097,0.0009115770282588879,1096
1103,0.0009066183136899365,1102
1109,0.0009017132551848512,1108
1117,0.0008952551477170994,558
1123,0.0008904719501335708,561
